name,height(cm),weight(kg),position,games,pts,trb,ast,fg_pct,fg3_pct,ft_pct,efg,per,ws
James Harden,196.0,99.0,SG,72.0,30.4,5.4,8.8,44.9,36.7,85.8,54.1,29.8,15.4
Trevor Ariza,203.0,97.0,SF,67.0,11.7,4.4,1.6,41.2,36.8,85.4,54.2,11.8,5.3
Chris Paul,183.0,79.0,PG,58.0,18.6,5.4,7.9,46.0,38.0,91.9,55.0,24.4,10.2
Clint Capela,208.0,108.0,C,74.0,13.9,10.8,0.9,65.2,0.0,56.0,65.2,24.5,10.2
Ryan Anderson,208.0,108.0,PF,66.0,9.3,5.0,0.9,43.1,38.6,77.4,56.8,12.6,4.8
Eric Gordon,193.0,97.0,PG,69.0,18.0,2.5,2.2,42.8,35.9,80.9,54.0,15.2,4.7
Chinanu Onuaku,208.0,111.0,C,1.0,4.0,4.0,1.0,40.0,,,40.0,-3.2,-0.1
Nene,211.0,113.0,PF,52.0,6.5,3.4,0.9,56.9,0.0,63.6,56.9,16.4,2.6
P.J. Tucker,198.0,111.0,PF,82.0,6.1,5.6,0.9,39.0,37.1,71.7,52.0,8.3,3.9
Tarik Black,206.0,113.0,C,51.0,3.5,3.2,0.3,59.1,9.1,46.0,59.4,14.3,1.5
Luc Mbah a Moute,203.0,104.0,PF,61.0,7.5,3.0,0.9,48.1,36.4,68.4,57.2,10.2,2.8
Zhou Qi,216.0,95.0,C,18.0,1.2,1.2,0.1,18.8,10.5,66.7,21.9,1.9,-0.3
Gerald Green,201.0,92.0,SG,41.0,12.1,3.2,0.6,40.7,36.9,85.0,54.0,14.1,2.1
R.J. Hunter,196.0,83.0,SG,5.0,3.8,1.0,0.6,35.0,21.4,100.0,42.5,8.5,0.0
Markel Brown,190.0,86.0,SG,4.0,1.3,1.3,0.5,28.6,20.0,,35.7,-1.2,0.0
Joe Johnson,201.0,108.0,SG,55.0,6.8,3.1,1.5,40.6,27.6,88.9,46.1,8.1,1.0
Aaron Jackson,193.0,83.0,PG,1.0,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Stephen Curry,190.0,86.0,PG,51.0,26.4,5.1,6.1,49.5,42.3,92.1,61.8,28.2,9.1
Klay Thompson,201.0,97.0,SG,73.0,20.0,3.8,2.5,48.8,44.0,83.7,58.5,16.1,4.9
Kevon Looney,206.0,99.0,PF,66.0,4.0,3.3,0.6,58.0,20.0,54.5,58.3,14.8,2.8
Draymond Green,201.0,104.0,SF,70.0,11.0,7.6,7.3,45.4,30.1,77.5,51.6,16.1,6.1
Patrick McCaw,201.0,83.0,SG,57.0,4.0,1.4,1.4,40.9,23.8,76.5,45.1,7.4,0.6
Damian Jones,213.0,111.0,C,15.0,1.7,0.9,0.1,50.0,,60.0,50.0,6.8,0.1
Jordan Bell,206.0,101.0,C,57.0,4.6,3.6,1.8,62.7,0.0,68.2,62.7,18.0,2.9
Kevin Durant,206.0,108.0,PF,68.0,26.4,6.8,5.4,51.6,41.9,88.9,58.6,26.0,10.4
Andre Iguodala,198.0,97.0,SG,64.0,6.0,3.8,3.3,46.3,28.2,63.2,51.4,11.2,3.2
Shaun Livingston,201.0,87.0,SG,71.0,5.5,1.8,2.0,50.1,0.0,82.0,50.1,11.6,1.8
Nick Young,201.0,95.0,SG,80.0,7.3,1.6,0.5,41.2,37.7,86.2,53.8,10.0,1.7
Zaza Pachulia,211.0,122.0,C,69.0,5.4,4.7,1.6,56.4,0.0,80.6,56.4,17.0,3.3
David West,206.0,113.0,SF,73.0,6.8,3.3,1.9,57.1,37.5,75.9,57.5,20.9,3.5
JaVale McGee,213.0,122.0,C,65.0,4.8,2.6,0.5,62.1,0.0,73.1,62.1,22.3,2.7
Quinn Cook,188.0,83.0,PG,33.0,9.5,2.5,2.7,48.4,44.2,88.0,57.5,12.8,1.6
Chris Boucher,208.0,82.0,PF,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,-28.5,0.0
Quinn Cook,188.0,83.0,PG,33.0,9.5,2.5,2.7,48.4,44.2,88.0,57.5,12.8,1.6
Damian Lillard,190.0,88.0,PG,73.0,26.9,4.5,6.6,43.9,36.1,91.6,51.9,25.2,12.6
C.J. McCollum,190.0,86.0,SG,81.0,21.4,4.0,3.4,44.3,39.7,83.6,50.6,17.0,6.6
Shabazz Napier,185.0,79.0,PG,74.0,8.7,2.3,2.0,42.0,37.6,84.1,49.7,14.2,3.2
Jusuf Nurkic,213.0,127.0,C,79.0,14.3,9.0,1.8,50.5,0.0,63.0,50.5,19.2,4.7
Al-Farouq Aminu,206.0,99.0,PF,69.0,9.3,7.6,1.2,39.5,36.9,73.8,50.3,12.0,4.2
Ed Davis,208.0,108.0,C,78.0,5.3,7.4,0.5,58.2,0.0,66.7,58.2,15.5,5.0
Pat Connaughton,196.0,93.0,SG,82.0,5.4,2.0,1.1,42.3,35.2,84.1,51.8,9.3,2.5
Evan Turner,201.0,99.0,SF,79.0,8.2,3.1,2.2,44.7,31.8,85.0,48.4,9.9,2.6
Jake Layman,206.0,95.0,SF,35.0,1.0,0.5,0.3,29.8,20.0,66.7,34.0,4.9,-0.1
Meyers Leonard,216.0,111.0,C,33.0,3.4,2.1,0.5,59.0,42.3,81.8,66.0,17.8,1.1
Maurice Harkless,206.0,97.0,SF,59.0,6.5,2.7,0.9,49.5,41.5,71.2,57.7,12.6,3.2
Zach Collins,213.0,105.0,C,66.0,4.4,3.3,0.8,39.8,31.0,64.3,45.8,7.5,0.6
Caleb Swanigan,203.0,113.0,PF,27.0,2.3,2.0,0.5,40.0,12.5,66.7,40.8,7.5,0.0
C.J. Wilcox,196.0,88.0,SG,,,,,,,,,,
Wade Baldwin,193.0,91.0,PG,7.0,5.4,1.1,0.7,66.7,80.0,60.0,76.2,16.6,0.3
Georgios Papagiannis,216.0,108.0,C,17.0,2.1,2.2,0.5,42.9,,,42.9,12.2,0.0
Paul George,206.0,99.0,SF,79.0,21.9,5.7,3.3,43.0,40.1,82.0,52.1,18.7,8.9
Carmelo Anthony,203.0,108.0,PF,78.0,16.2,5.8,1.3,40.4,35.7,76.7,47.6,12.7,3.7
Russell Westbrook,190.0,90.0,PG,80.0,25.4,10.1,10.3,44.9,29.8,73.7,47.7,24.7,10.1
Steven Adams,213.0,115.0,C,76.0,13.9,9.0,1.2,62.9,0.0,55.7,62.9,20.6,9.7
Jerami Grant,203.0,95.0,SF,81.0,8.4,3.9,0.7,53.5,29.1,67.5,57.0,16.2,5.4
Kyle Singler,203.0,103.0,SF,12.0,1.9,0.8,0.2,33.3,40.0,53.8,38.1,5.9,0.0
Josh Huestis,201.0,104.0,PF,69.0,2.3,2.3,0.3,33.0,28.7,30.0,42.0,5.4,0.5
Alex Abrines,198.0,86.0,SG,75.0,4.7,1.5,0.4,39.5,38.0,84.8,54.0,9.0,2.2
Patrick Patterson,206.0,104.0,PF,82.0,3.9,2.4,0.7,39.8,38.6,87.0,52.3,10.0,2.6
Raymond Felton,185.0,92.0,SG,82.0,6.9,1.9,2.5,40.6,35.2,81.8,47.9,13.0,2.2
Andre Roberson,201.0,95.0,SF,39.0,5.0,4.7,1.2,53.7,22.2,31.6,56.2,10.9,2.2
Dakari Johnson,213.0,115.0,C,31.0,1.8,1.1,0.3,56.4,,55.0,56.4,16.4,0.6
Nick Collison,208.0,115.0,C,15.0,2.1,1.3,0.3,68.4,,38.5,68.4,13.2,0.1
Terrance Ferguson,201.0,83.0,SG,61.0,3.1,0.8,0.3,41.4,33.3,90.0,53.3,7.4,1.2
PJ Dozier,201.0,91.0,PG,2.0,1.0,0.5,0.0,50.0,,,50.0,-5.0,0.0
Daniel Hamilton,201.0,88.0,SG,6.0,2.0,0.8,1.3,45.5,40.0,,54.5,18.2,0.1
Corey Brewer,206.0,84.0,SF,72.0,5.3,2.1,0.9,44.9,28.2,72.2,49.8,11.2,2.3
Rudy Gobert,216.0,111.0,C,56.0,13.5,10.7,1.4,62.2,,68.2,62.2,20.7,8.1
Ricky Rubio,193.0,87.0,PG,77.0,13.1,4.6,5.3,41.8,35.2,86.6,47.6,15.4,5.3
Derrick Favors,208.0,120.0,C,77.0,12.3,7.2,1.3,56.3,22.2,65.1,57.3,18.8,8.0
Alec Burks,198.0,97.0,SG,64.0,7.7,3.0,1.0,41.1,33.1,86.3,46.7,13.1,1.9
Dante Exum,198.0,86.0,PG,14.0,8.1,1.9,3.1,48.3,27.8,80.6,51.1,16.7,0.7
Jae Crowder,198.0,106.0,SF,80.0,9.7,3.4,1.2,40.4,32.3,81.8,48.6,10.4,2.6
Raul Neto,185.0,81.0,PG,41.0,4.5,1.2,1.8,45.7,40.4,74.3,52.0,11.9,0.9
Donovan Mitchell,190.0,95.0,SG,79.0,20.5,3.7,3.7,43.7,34.0,80.5,50.6,16.7,5.2
Tony Bradley,211.0,108.0,C,9.0,0.9,1.2,0.1,27.3,0.0,100.0,27.3,9.5,0.0
Jonas Jerebko,208.0,104.0,PF,74.0,5.8,3.3,0.6,46.6,41.4,80.7,56.2,13.2,3.4
Thabo Sefolosha,201.0,99.0,SF,38.0,8.2,4.2,0.9,49.2,38.1,81.5,55.8,15.8,2.6
Royce O'Neale,198.0,97.0,SF,69.0,5.0,3.4,1.4,42.3,35.6,80.3,49.6,10.8,2.4
Ekpe Udoh,208.0,108.0,C,63.0,2.6,2.4,0.8,50.0,0.0,75.0,50.0,15.2,3.2
Joe Ingles,203.0,102.0,SF,82.0,11.5,4.2,4.8,46.7,44.0,79.5,60.9,14.4,7.6
Erik McCree,203.0,102.0,SF,4.0,0.0,0.3,0.0,0.0,0.0,,0.0,-8.9,-0.1
Georges Niang,203.0,104.0,PF,9.0,1.0,1.0,0.3,36.4,0.0,50.0,36.4,9.2,0.0
David Stockton,180.0,74.0,PG,3.0,3.3,0.0,0.0,66.7,66.7,100.0,100.0,33.9,0.1
Anthony Davis,208.0,114.0,PF,75.0,28.1,11.1,2.3,53.4,34.0,82.8,55.2,28.9,13.7
DeMarcus Cousins,211.0,122.0,C,48.0,25.2,12.9,5.4,47.0,35.4,74.6,53.0,22.6,4.7
Alexis Ajinca,218.0,112.0,PF,,,,,,,,,,
E'Twaun Moore,193.0,86.0,PG,82.0,12.5,2.9,2.3,50.8,42.5,70.6,58.5,12.1,4.4
Cheick Diallo,206.0,99.0,PF,52.0,4.9,4.1,0.4,58.0,,75.8,58.0,17.0,1.9
Solomon Hill,201.0,102.0,SF,12.0,2.4,3.0,1.8,26.8,19.0,50.0,31.7,4.8,-0.1
Jrue Holiday,193.0,92.0,PG,81.0,19.0,4.5,6.0,49.4,33.7,78.6,54.3,17.8,7.1
Frank Jackson,193.0,91.0,PF,,,,,,,,,,
Rajon Rondo,185.0,84.0,PG,65.0,8.3,4.0,8.2,46.8,33.3,54.3,51.8,15.3,3.6
Darius Miller,203.0,106.0,SF,82.0,7.8,2.0,1.4,44.4,41.1,86.6,59.4,9.3,3.0
Ian Clark,190.0,79.0,SG,74.0,7.4,1.7,1.5,44.8,31.8,76.3,51.1,9.4,1.1
Nikola Mirotic,208.0,99.0,PF,55.0,15.6,7.4,1.5,44.7,37.7,81.8,54.6,18.7,4.0
Charles Cooke,196.0,88.0,SG,13.0,0.5,0.2,0.1,14.3,12.5,50.0,17.9,-5.1,-0.2
DeAndre Liggins,198.0,94.0,SF,58.0,1.7,1.3,0.8,37.7,35.8,40.0,46.7,6.0,0.5
Emeka Okafor,208.0,114.0,C,26.0,4.4,4.6,0.3,50.5,,81.8,50.5,16.4,1.0
Jordan Crawford,193.0,88.0,PG,5.0,6.6,0.8,2.6,44.4,57.1,100.0,59.3,19.1,0.2
Tony Parker,188.0,83.0,PG,55.0,7.7,1.7,3.5,45.9,27.0,70.5,47.2,12.7,1.4
Kyle Anderson,206.0,104.0,SF,74.0,7.9,5.4,2.7,52.7,33.3,71.2,54.9,15.9,6.2
Kawhi Leonard,201.0,104.0,SF,9.0,16.2,4.7,2.3,46.8,31.4,81.6,51.8,26.0,0.9
Danny Green,198.0,97.0,SG,70.0,8.6,3.6,1.6,38.7,36.3,76.9,49.0,11.4,2.9
LaMarcus Aldridge,211.0,117.0,PF,75.0,23.1,8.5,2.0,51.0,29.3,83.7,52.0,25.0,10.9
Dejounte Murray,196.0,77.0,PG,81.0,8.1,5.7,2.9,44.3,26.5,70.9,45.1,15.1,3.2
Bryn Forbes,190.0,86.0,SG,80.0,6.9,1.4,1.0,42.1,39.0,66.7,51.0,9.1,2.1
Davis Bertans,208.0,95.0,PF,77.0,5.9,2.0,1.0,44.0,37.3,81.6,56.8,14.1,3.1
Rudy Gay,203.0,104.0,SF,57.0,11.5,5.1,1.3,47.1,31.4,77.2,50.6,18.0,3.1
Derrick White,196.0,86.0,PG,17.0,3.2,1.5,0.5,48.5,61.5,70.0,60.6,15.9,0.5
Brandon Paul,193.0,90.0,SG,64.0,2.3,1.1,0.6,43.3,27.8,51.2,49.2,7.5,0.5
Joffrey Lauvergne,211.0,99.0,C,55.0,4.1,3.1,0.7,51.6,0.0,63.8,51.6,16.5,1.3
Pau Gasol,213.0,113.0,C,77.0,10.1,8.0,3.1,45.8,35.8,75.6,49.2,18.9,6.0
Patty Mills,183.0,83.0,PG,82.0,10.0,1.9,2.8,41.1,37.2,89.0,52.3,11.8,4.1
Manu Ginobili,198.0,92.0,SG,65.0,8.9,2.2,2.5,43.4,33.3,84.0,50.3,12.9,2.2
Darrun Hilliard,198.0,92.0,SG,14.0,1.1,0.5,0.8,26.3,0.0,85.7,26.3,3.4,0.0
Matt Costello,206.0,111.0,C,4.0,1.0,2.3,0.5,50.0,,,50.0,9.7,0.1
Gorgui Dieng,211.0,109.0,PF,79.0,5.9,4.6,0.9,47.9,31.1,77.5,50.4,14.7,2.9
Andrew Wiggins,203.0,90.0,SF,82.0,17.7,4.4,2.0,43.8,33.1,64.3,48.1,13.0,2.1
Karl-Anthony Towns,213.0,110.0,C,82.0,21.3,12.3,2.4,54.5,42.1,85.8,59.6,24.9,14.0
Tyus Jones,188.0,88.0,PG,82.0,5.1,1.6,2.8,45.7,34.9,87.7,52.6,14.1,3.6
Jimmy Butler,203.0,107.0,SF,59.0,22.2,5.3,4.9,47.4,35.0,85.4,51.2,23.7,8.9
Nemanja Bjelica,208.0,108.0,PF,67.0,6.8,4.1,1.3,46.1,41.5,80.0,56.3,12.6,2.8
Cole Aldrich,211.0,113.0,C,21.0,0.6,0.7,0.1,33.3,,33.3,33.3,6.0,0.0
Justin Patton,211.0,103.0,C,1.0,2.0,0.0,0.0,50.0,,,50.0,19.8,0.0
Jeff Teague,188.0,84.0,PG,70.0,14.2,3.0,7.0,44.6,36.8,84.5,49.9,16.4,4.9
Taj Gibson,206.0,102.0,PF,82.0,12.2,7.1,1.2,57.7,20.0,76.8,58.1,15.4,7.2
Jamal Crawford,196.0,90.0,PG,80.0,10.3,1.2,2.3,41.5,33.1,90.3,48.5,13.0,1.3
Marcus Georges-Hunt,196.0,97.0,SG,42.0,1.4,0.4,0.2,43.8,26.7,61.9,47.9,6.9,0.2
Aaron Brooks,183.0,73.0,PG,32.0,2.3,0.5,0.6,40.6,35.5,72.7,48.6,9.8,0.1
Anthony Brown,201.0,95.0,SF,1.0,3.0,0.0,1.0,100.0,100.0,,150.0,41.9,0.0
Amile Jefferson,206.0,101.0,PF,,,,,,,,,,
Derrick Rose,190.0,86.0,PG,25.0,8.4,1.4,1.5,43.5,23.3,87.0,45.4,11.5,-0.2
Wilson Chandler,203.0,102.0,SF,74.0,10.0,5.4,2.2,44.5,35.8,77.2,51.5,11.0,3.3
Kenneth Faried,203.0,103.0,PF,32.0,5.9,4.8,0.6,51.4,0.0,70.6,51.4,17.4,1.3
Devin Harris,190.0,87.0,PG,71.0,8.4,1.8,2.1,41.2,34.8,83.5,49.9,13.0,2.5
Gary Harris,193.0,95.0,SG,67.0,17.5,2.6,2.9,48.5,39.6,82.7,57.0,16.5,5.5
Trey Lyles,208.0,106.0,PF,73.0,9.9,4.8,1.2,49.1,38.1,69.7,56.6,17.9,3.9
Nikola Jokic,208.0,113.0,C,75.0,18.5,10.7,6.1,49.9,39.6,85.0,55.4,24.4,10.7
Will Barton,198.0,79.0,SG,81.0,15.7,5.0,4.1,45.2,37.0,80.5,52.8,16.2,6.2
Darrell Arthur,206.0,106.0,PF,19.0,2.8,0.8,0.5,46.8,34.8,66.7,55.3,8.4,0.0
Malik Beasley,196.0,88.0,SG,62.0,3.2,1.1,0.5,41.0,34.1,66.7,48.9,9.0,0.3
Jamal Murray,193.0,93.0,SG,81.0,16.7,3.7,3.4,45.1,37.8,90.5,52.9,16.1,5.5
Juan Hernangomez,206.0,104.0,PF,25.0,3.3,2.2,0.5,38.7,28.0,83.3,48.0,9.7,0.4
Tyler Lydon,208.0,97.0,PF,1.0,0.0,0.0,0.0,,,,,0.0,0.0
Paul Millsap,203.0,111.0,PF,38.0,14.6,6.4,2.7,46.4,34.5,69.6,50.9,17.0,2.5
Mason Plumlee,211.0,111.0,C,74.0,7.1,5.4,1.9,60.1,0.0,45.6,60.1,16.9,3.6
Richard Jefferson,201.0,105.0,SF,20.0,1.5,0.9,0.8,44.4,28.6,57.1,48.1,6.4,0.1
Monte Morris,190.0,79.0,PG,3.0,3.3,0.7,2.3,66.7,0.0,100.0,66.7,27.1,0.2
Torrey Craig,198.0,97.0,SF,39.0,4.2,3.3,0.6,45.3,29.3,62.9,51.5,9.8,0.9
Avery Bradley,188.0,81.0,PG,46.0,14.3,2.5,2.0,41.4,36.9,76.8,47.4,9.6,-0.2
Sam Dekker,206.0,104.0,PF,73.0,4.2,2.4,0.5,49.4,16.7,66.1,51.4,11.5,1.2
Patrick Beverley,185.0,83.0,PG,11.0,12.2,4.1,2.9,40.3,40.0,82.4,50.4,12.3,0.4
Tobias Harris,206.0,106.0,PF,80.0,18.6,5.5,2.4,46.0,41.1,82.9,53.5,17.1,6.7
DeAndre Jordan,211.0,120.0,C,77.0,12.0,15.2,1.5,64.5,,58.0,64.5,20.2,9.4
Lou Williams,185.0,79.0,PG,79.0,22.6,2.5,5.3,43.5,35.9,88.0,50.5,20.2,6.7
Montrezl Harrell,203.0,108.0,PF,76.0,11.0,4.0,1.0,63.5,14.3,62.6,63.6,24.7,5.5
Austin Rivers,193.0,90.0,PG,61.0,15.1,2.4,4.0,42.4,37.8,64.2,50.8,12.6,2.4
Wesley Johnson,201.0,97.0,SG,74.0,5.4,2.9,0.8,40.8,33.9,74.1,48.9,9.8,1.7
Boban Marjanovic,221.0,131.0,C,39.0,6.0,3.7,0.6,53.4,,79.4,53.4,26.0,1.5
Danilo Gallinari,208.0,102.0,PF,21.0,15.3,4.8,2.0,39.8,32.4,93.1,46.9,13.8,1.2
Milos Teodosic,196.0,88.0,PG,45.0,9.5,2.8,4.6,41.9,37.9,84.8,54.2,11.6,1.4
Jawun Evans,183.0,83.0,PG,48.0,4.8,1.8,2.1,35.2,27.8,77.6,38.1,7.2,-0.2
Sindarius Thornwell,196.0,96.0,SG,73.0,3.9,1.9,0.9,42.9,37.7,67.0,47.9,8.2,1.0
Tyrone Wallace,196.0,92.0,PG,30.0,9.7,3.5,2.4,44.5,25.0,78.2,46.6,10.1,0.7
C.J. Williams,196.0,102.0,SG,38.0,5.5,1.5,1.1,44.2,28.2,81.3,49.7,9.5,0.7
Channing Frye,211.0,115.0,PF,53.0,5.0,2.5,0.7,49.1,33.9,89.5,58.3,13.1,1.5
