name,height(cm),weight(kg),position,games,pts,trb,ast,fg_pct,fg3_pct,ft_pct,efg,per,ws
Goran Dragic,190.0,86.0,PG,75.0,17.3,4.1,4.8,45.0,37.0,80.1,50.2,16.6,5.3
Josh Richardson,198.0,90.0,SG,81.0,12.9,3.5,2.9,45.1,37.8,84.5,52.3,13.6,5.4
Tyler Johnson,193.0,84.0,PG,72.0,11.7,3.4,2.3,43.5,36.7,82.2,51.8,13.0,4.2
Hassan Whiteside,213.0,120.0,C,54.0,14.0,11.4,1.0,54.0,100.0,70.3,54.2,24.1,5.3
Wayne Ellington,193.0,90.0,SG,77.0,11.2,2.8,1.0,40.7,39.2,85.9,56.9,12.5,4.5
Rodney McGruder,193.0,92.0,SG,18.0,5.1,1.8,0.9,49.3,42.9,50.0,59.6,12.0,0.8
Bam Adebayo,208.0,110.0,C,69.0,6.9,5.5,1.5,51.2,0.0,72.1,51.2,15.7,4.2
Udonis Haslem,203.0,106.0,PF,14.0,0.6,0.7,0.4,20.0,12.5,50.0,23.3,1.8,-0.1
James Johnson,206.0,113.0,PF,73.0,10.8,4.9,3.8,50.3,30.8,69.8,55.0,15.8,4.9
Dion Waiters,193.0,102.0,SG,30.0,14.3,2.6,3.8,39.8,30.6,73.9,46.1,10.5,0.1
Kelly Olynyk,213.0,107.0,PF,76.0,11.5,5.7,2.7,49.7,37.9,77.0,58.0,17.8,5.5
Luke Babbitt,206.0,102.0,SF,50.0,5.2,1.9,0.6,42.3,38.5,77.3,56.3,9.8,0.9
Jordan Mickey,203.0,106.0,PF,23.0,4.0,3.6,0.4,47.6,12.5,68.4,48.8,10.6,0.3
Dwyane Wade,193.0,99.0,PG,67.0,11.4,3.8,3.4,43.8,28.8,71.4,46.2,15.0,1.1
Derrick Walton,185.0,85.0,PG,16.0,1.8,1.0,1.0,32.0,41.2,100.0,46.0,11.2,0.4
Derrick Jones,201.0,86.0,SF,20.0,3.1,1.9,0.5,39.6,16.7,66.7,42.5,10.1,0.4
Eric Bledsoe,185.0,92.0,PG,74.0,17.7,3.8,5.0,47.3,34.7,79.2,53.6,19.7,5.6
John Henson,211.0,103.0,PF,76.0,8.8,6.8,1.5,57.2,14.3,57.0,57.3,15.7,4.9
Giannis Antetokounmpo,211.0,100.0,PF,75.0,26.9,10.0,4.8,52.9,30.7,76.0,54.5,27.3,11.9
Jabari Parker,203.0,113.0,PF,31.0,12.6,4.9,1.9,48.2,38.3,74.1,52.9,17.1,1.2
Khris Middleton,203.0,106.0,SF,82.0,20.1,5.2,4.0,46.6,35.9,88.4,52.4,17.4,6.9
Matthew Dellavedova,193.0,89.0,PG,38.0,4.3,1.7,3.8,36.2,37.2,92.6,45.7,8.6,0.5
Thon Maker,216.0,97.0,C,74.0,4.8,3.0,0.6,41.1,29.8,69.9,46.0,10.2,1.5
Malcolm Brogdon,196.0,97.0,SG,48.0,13.0,3.3,3.2,48.5,38.5,88.2,54.7,14.3,2.7
D.J. Wilson,208.0,106.0,PF,22.0,1.0,0.5,0.1,56.3,40.0,50.0,62.5,10.3,0.1
Sterling Brown,196.0,102.0,SG,54.0,4.0,2.6,0.5,40.0,35.2,87.5,47.8,9.1,0.7
Tony Snell,201.0,90.0,SF,75.0,6.9,1.9,1.3,43.5,40.3,79.2,56.2,8.5,2.4
Tyler Zeller,213.0,114.0,C,66.0,6.7,4.6,0.7,56.0,35.7,72.2,57.5,16.0,2.9
Jason Terry,188.0,83.0,SG,51.0,3.3,0.9,1.2,38.3,34.8,88.9,51.3,8.1,0.7
Xavier Munford,188.0,81.0,SG,6.0,0.5,0.2,0.7,16.7,0.0,50.0,16.7,-2.1,-0.1
Marshall Plumlee,213.0,113.0,C,8.0,1.8,2.1,0.3,33.3,,75.0,33.3,10.9,0.2
Shabazz Muhammad,198.0,101.0,SF,43.0,5.0,1.8,0.3,44.7,25.9,78.0,46.5,15.4,0.7
Brandon Jennings,185.0,77.0,PG,14.0,5.2,2.2,3.1,37.5,27.3,100.0,43.8,12.7,0.1
Marcin Gortat,211.0,108.0,PF,82.0,8.4,7.6,1.8,51.8,,67.5,51.8,14.7,4.9
Markieff Morris,208.0,111.0,PF,73.0,11.5,5.6,1.9,48.0,36.7,82.0,53.6,13.2,3.3
John Wall,193.0,88.0,PG,41.0,19.4,3.7,9.6,42.0,37.1,72.6,46.6,19.1,2.7
Kelly Oubre Jr.,201.0,92.0,SF,81.0,11.8,4.5,1.2,40.3,34.1,82.0,48.2,11.9,3.7
Chris McCullough,211.0,90.0,PF,19.0,2.4,1.3,0.2,42.9,12.5,64.3,44.0,15.8,0.2
Ian Mahinmi,211.0,113.0,C,77.0,4.8,4.1,0.7,55.6,0.0,70.3,55.6,12.2,2.2
Jason Smith,213.0,111.0,C,33.0,3.4,1.6,0.4,39.1,12.5,90.5,40.9,8.8,0.0
Tomas Satoransky,201.0,95.0,SG,73.0,7.2,3.2,3.9,52.3,46.5,78.1,58.5,15.3,5.0
Tim Frazier,185.0,77.0,PG,59.0,3.0,1.9,3.3,39.5,30.4,76.7,44.5,11.3,1.4
Bradley Beal,196.0,93.0,SG,82.0,22.6,4.4,4.5,46.0,37.5,79.3,52.7,18.4,6.9
Otto Porter,203.0,89.0,SF,77.0,14.7,6.4,2.0,50.3,44.1,82.8,58.1,18.3,8.1
Mike Scott,203.0,107.0,PF,76.0,8.8,3.3,1.1,52.7,40.5,65.8,59.0,13.6,2.5
Jodie Meeks,193.0,95.0,SG,77.0,6.3,1.6,0.9,39.9,34.3,86.3,49.1,12.4,2.0
Devin Robinson,203.0,86.0,SF,1.0,2.0,5.0,0.0,33.3,,,33.3,10.5,0.0
Ramon Sessions,190.0,86.0,PG,28.0,4.9,1.4,2.8,35.9,30.8,77.2,39.3,11.2,0.3
Ty Lawson,180.0,88.0,PG,,,,,,,,,,
Stanley Johnson,201.0,111.0,SF,69.0,8.7,3.7,1.6,37.5,28.6,77.2,43.5,9.0,1.8
Reggie Jackson,190.0,94.0,PG,45.0,14.6,2.8,5.3,42.6,30.8,83.6,47.1,15.9,2.0
Jon Leuer,208.0,103.0,PF,8.0,5.4,4.0,0.6,41.7,0.0,86.7,41.7,8.9,0.1
Ish Smith,183.0,79.0,PG,82.0,10.9,2.7,4.4,48.6,34.7,69.8,50.7,15.4,4.4
Andre Drummond,211.0,126.0,C,78.0,15.0,16.0,3.0,52.9,0.0,60.5,52.9,22.9,10.3
James Ennis,201.0,95.0,SF,72.0,7.1,3.1,1.0,47.4,33.3,83.6,54.0,11.6,3.1
Henry Ellenson,211.0,111.0,PF,38.0,4.0,2.1,0.5,36.3,33.3,86.2,43.2,10.5,0.1
Luke Kennard,198.0,93.0,SG,73.0,7.6,2.4,1.7,44.3,41.5,85.5,53.0,12.1,2.6
Langston Galloway,188.0,90.0,PG,58.0,6.2,1.6,1.0,37.1,34.4,80.5,48.1,12.2,1.4
Eric Moreland,208.0,107.0,PF,67.0,2.1,4.1,1.2,54.1,,37.9,54.1,13.9,2.3
Reggie Bullock,201.0,92.0,SF,62.0,11.3,2.5,1.5,48.9,44.5,79.6,60.3,13.6,4.2
Anthony Tolliver,203.0,108.0,PF,79.0,8.9,3.1,1.1,46.4,43.6,79.7,63.2,13.9,5.3
Blake Griffin,208.0,113.0,PF,58.0,21.4,7.4,5.8,43.8,34.5,78.5,49.3,19.6,4.9
Dwight Buycks,190.0,86.0,PG,29.0,7.4,1.4,2.0,41.4,33.3,87.8,45.2,12.8,0.2
Jameer Nelson,183.0,86.0,PG,50.0,4.9,2.1,3.6,38.9,33.1,80.0,47.3,8.1,0.6
Reggie Hearn,196.0,95.0,SG,3.0,1.0,0.0,0.0,50.0,50.0,,75.0,13.1,0.0
Kay Felder,175.0,79.0,PG,16.0,3.6,1.1,1.3,30.0,21.1,91.7,32.9,3.6,-0.5
Michael Kidd-Gilchrist,201.0,105.0,SF,74.0,9.2,4.1,1.0,50.4,0.0,68.4,50.4,12.5,3.2
Kemba Walker,185.0,78.0,PG,80.0,22.1,3.1,5.6,43.1,38.4,86.4,51.6,20.6,8.5
Cody Zeller,213.0,108.0,C,33.0,7.1,5.4,0.9,54.5,66.7,71.8,55.1,15.9,1.9
Jeremy Lamb,196.0,83.0,SG,80.0,12.9,4.1,2.3,45.7,37.0,86.1,51.3,17.0,4.9
Frank Kaminsky,213.0,109.0,PF,79.0,11.1,3.6,1.6,42.9,38.0,79.9,50.1,14.4,3.6
Nicolas Batum,203.0,90.0,SF,64.0,11.6,4.8,5.5,41.5,33.6,83.1,48.6,14.4,3.5
Marvin Williams,206.0,107.0,SF,78.0,9.5,4.7,1.2,45.8,41.3,82.9,57.0,13.9,5.0
Dwight Howard,211.0,120.0,PF,81.0,16.6,12.5,1.3,55.5,14.3,57.4,55.6,20.5,6.8
Willy Hernangomez,211.0,108.0,C,48.0,5.1,3.8,0.7,55.5,41.7,65.6,57.0,21.2,1.8
Treveon Graham,198.0,99.0,SG,63.0,4.3,1.9,0.9,43.4,41.2,69.5,52.5,9.0,1.8
Malik Monk,190.0,90.0,SG,63.0,6.7,1.0,1.4,36.0,34.2,84.2,45.8,10.3,0.0
Michael Carter-Williams,198.0,86.0,PG,52.0,4.6,2.7,2.2,33.2,23.7,82.0,36.2,10.8,0.9
Dwayne Bacon,198.0,100.0,SG,53.0,3.3,2.3,0.7,37.5,25.6,80.0,40.4,5.8,-0.1
Julyan Stone,198.0,90.0,SG,23.0,0.8,1.3,1.1,46.2,46.2,50.0,69.2,7.6,0.3
Marcus Paige,185.0,79.0,PG,5.0,2.4,0.8,0.6,28.6,25.0,100.0,35.7,9.1,0.0
Mangok Mathiang,208.0,104.0,C,4.0,2.0,2.5,0.0,57.1,,0.0,57.1,18.0,0.1
Kristaps Porzingis,221.0,108.0,PF,48.0,22.7,6.6,1.2,43.9,39.5,79.3,48.9,20.4,3.2
Emmanuel Mudiay,196.0,90.0,PG,64.0,8.6,2.4,3.2,38.8,31.8,76.0,43.3,11.5,0.0
Kyle O'Quinn,208.0,113.0,C,77.0,7.1,6.1,2.1,58.2,23.5,77.2,58.7,19.9,4.8
Enes Kanter,211.0,111.0,C,71.0,14.1,11.0,1.5,59.2,0.0,84.8,59.2,24.0,7.6
Joakim Noah,211.0,104.0,C,7.0,1.7,2.0,0.6,50.0,,50.0,50.0,15.6,0.1
Courtney Lee,196.0,90.0,SG,76.0,12.0,2.9,2.4,45.4,40.6,91.9,52.9,13.0,3.9
Lance Thomas,203.0,106.0,SF,73.0,4.1,2.4,0.6,38.2,40.3,83.0,47.6,6.3,0.9
Frank Ntilikina,196.0,86.0,PG,78.0,5.9,2.3,3.2,36.4,31.8,72.1,41.4,7.1,-0.9
Tim Hardaway,198.0,92.0,SG,57.0,17.5,3.9,2.7,42.1,31.7,81.6,49.6,14.4,2.6
Ron Baker,193.0,99.0,SG,29.0,2.4,1.0,1.6,33.9,33.3,76.9,43.2,9.3,0.5
Damyean Dotson,198.0,92.0,SG,44.0,4.1,1.9,0.7,44.7,32.4,69.6,51.6,11.6,0.6
Michael Beasley,206.0,106.0,PF,74.0,13.2,5.6,1.7,50.7,39.5,78.0,52.8,17.8,2.4
Jarrett Jack,190.0,90.0,SG,62.0,7.5,3.1,5.6,42.7,29.1,84.0,45.5,11.5,1.2
Luke Kornet,216.0,113.0,PF,20.0,6.7,3.2,1.3,39.2,35.4,72.7,50.4,13.6,0.5
Isaiah Hicks,206.0,105.0,PF,18.0,4.4,2.3,0.9,45.8,22.2,66.7,47.2,6.8,0.0
Trey Burke,185.0,86.0,PG,36.0,12.8,2.0,4.7,50.3,36.2,64.9,55.2,21.0,2.4
Troy Williams,201.0,98.0,SF,21.0,6.3,3.0,0.8,46.8,28.9,66.7,51.8,15.1,0.5
Nik Stauskas,198.0,92.0,SG,41.0,4.4,1.6,1.0,39.0,40.0,72.4,51.9,9.0,0.3
D'Angelo Russell,196.0,88.0,PG,48.0,15.5,3.9,5.2,41.4,32.4,74.0,48.1,15.2,0.4
Jahlil Okafor,211.0,124.0,C,28.0,6.3,3.0,0.4,55.8,25.0,72.4,56.2,15.3,0.6
Rondae Hollis-Jefferson,201.0,99.0,SF,68.0,13.9,6.8,2.5,47.2,24.1,78.8,48.1,16.9,4.1
DeMarre Carroll,203.0,97.0,PF,73.0,13.5,6.6,2.0,41.4,37.1,76.4,50.6,14.3,4.1
Jeremy Lin,190.0,90.0,PG,1.0,18.0,0.0,4.0,41.7,50.0,100.0,45.8,15.9,0.0
Timofey Mozgov,216.0,124.0,C,31.0,4.2,3.2,0.4,55.9,22.2,76.7,58.1,12.3,0.4
Allen Crabbe,198.0,95.0,SG,75.0,13.2,4.3,1.6,40.7,37.8,85.2,52.9,12.3,3.2
Isaiah Whitehead,193.0,96.0,PG,16.0,6.3,1.6,1.3,46.5,38.9,68.4,50.6,11.5,-0.1
Caris LeVert,201.0,92.0,SF,71.0,12.1,3.7,4.2,43.5,34.7,71.1,49.3,14.3,2.3
Joe Harris,198.0,99.0,SG,78.0,10.8,3.3,1.6,49.1,41.9,82.7,61.2,13.3,4.0
Spencer Dinwiddie,198.0,90.0,PG,80.0,12.6,3.2,6.6,38.7,32.6,81.3,47.1,15.9,5.7
Quincy Acy,201.0,108.0,PF,70.0,5.9,3.7,0.8,35.6,34.9,81.7,49.6,8.2,1.0
Jarrett Allen,208.0,106.0,C,72.0,8.2,5.4,0.7,58.9,33.3,77.6,59.6,17.5,4.2
Dante Cunningham,203.0,104.0,PF,73.0,5.7,4.1,0.7,45.1,34.5,59.6,53.0,10.0,2.4
Jacob Wiley,201.0,97.0,PF,5.0,0.8,2.2,0.4,25.0,50.0,50.0,37.5,8.2,0.1
Milton Doyle,193.0,83.0,SG,10.0,3.4,1.8,1.0,27.7,17.4,50.0,31.9,5.2,-0.1
James Webb,206.0,91.0,SF,10.0,1.6,2.4,0.4,25.0,21.1,,33.3,2.2,-0.1
Noah Vonleh,208.0,108.0,PF,54.0,4.9,5.8,0.6,44.4,30.3,62.1,48.7,12.8,1.6
Zach LaVine,196.0,85.0,SG,24.0,16.7,3.9,3.0,38.3,34.1,81.3,44.2,14.6,0.3
Cameron Payne,190.0,83.0,PG,25.0,8.8,2.8,4.5,40.5,38.5,75.0,48.6,14.0,0.8
Jerian Grant,193.0,88.0,PG,74.0,8.4,2.3,4.6,41.5,32.4,74.5,47.5,14.3,3.3
Bobby Portis,211.0,104.0,PF,73.0,13.2,6.8,1.7,47.1,35.9,76.9,52.0,19.7,3.5
Omer Asik,213.0,115.0,C,18.0,1.2,2.6,0.2,40.9,,30.8,40.9,3.1,-0.1
Robin Lopez,213.0,115.0,C,64.0,11.8,4.5,1.9,53.0,28.6,75.6,53.3,14.7,1.9
Denzel Valentine,198.0,96.0,SG,77.0,10.2,5.1,3.2,41.7,38.6,74.5,51.7,12.1,2.5
Paul Zipser,203.0,97.0,SF,54.0,4.0,2.4,0.9,34.6,33.6,73.1,42.5,5.2,-0.6
Kris Dunn,193.0,95.0,PG,52.0,13.4,4.3,6.0,42.9,32.1,73.0,46.2,14.5,0.8
David Nwaba,193.0,94.0,SG,70.0,7.9,4.7,1.5,47.8,34.6,65.5,49.9,12.2,2.4
Lauri Markkanen,213.0,104.0,PF,68.0,15.2,7.5,1.2,43.4,36.2,84.3,51.8,15.6,3.3
Cristiano Felicio,208.0,124.0,C,55.0,5.6,4.2,1.0,59.1,0.0,66.7,59.1,12.5,1.7
Justin Holiday,198.0,83.0,SG,72.0,12.2,4.0,2.1,37.1,35.9,82.3,47.4,10.8,1.7
Ryan Arcidiacono,190.0,85.0,PG,24.0,2.0,1.0,1.5,41.5,29.0,83.3,52.4,7.3,0.3
Antonio Blakeney,193.0,89.0,SG,19.0,7.9,1.7,1.1,37.1,28.8,76.9,42.3,10.1,0.0
Sean Kilpatrick,193.0,95.0,SG,52.0,6.3,1.7,0.9,37.4,31.9,88.9,45.2,11.6,0.1
Nikola Vucevic,213.0,117.0,C,57.0,16.5,9.2,3.4,47.5,31.4,81.9,51.3,19.7,3.6
Terrence Ross,201.0,93.0,SG,24.0,8.7,3.0,1.6,39.8,32.3,75.0,47.6,9.9,0.3
Aaron Gordon,206.0,99.0,PF,58.0,17.6,7.9,2.3,43.4,33.6,69.8,50.0,16.5,2.9
Mario Hezonja,203.0,97.0,SF,75.0,9.6,3.7,1.4,44.2,33.7,81.9,51.5,13.7,2.3
Bismack Biyombo,206.0,115.0,C,82.0,5.7,5.7,0.8,52.0,0.0,65.0,52.0,14.1,2.9
D.J. Augustin,183.0,83.0,PG,75.0,10.2,2.1,3.8,45.2,41.9,86.8,55.7,15.4,4.1
Evan Fournier,201.0,92.0,SG,57.0,17.8,3.2,2.9,45.9,37.9,86.7,53.8,15.5,3.3
Jonathan Isaac,208.0,95.0,PF,27.0,5.4,3.7,0.7,37.9,34.8,76.0,43.4,9.8,0.2
Jonathon Simmons,198.0,88.0,SG,69.0,13.9,3.5,2.5,46.5,33.8,76.8,51.1,12.7,1.9
Wesley Iwundu,201.0,87.0,SF,62.0,3.7,2.2,0.9,42.7,19.6,72.3,44.7,7.8,0.7
Marreese Speights,208.0,115.0,PF,52.0,7.7,2.6,0.8,39.5,36.9,72.7,51.9,13.7,0.6
Arron Afflalo,196.0,95.0,SF,53.0,3.4,1.2,0.6,40.1,38.6,84.6,48.5,5.8,0.1
Khem Birch,206.0,99.0,C,42.0,4.2,4.3,0.8,54.0,,68.9,54.0,16.4,1.8
Shelvin Mack,190.0,92.0,SG,69.0,6.9,2.4,3.9,43.0,34.5,71.1,48.8,13.3,2.0
Jamel Artis,201.0,96.0,SG,15.0,5.1,2.5,1.2,39.2,27.6,58.3,44.3,6.9,0.0
Rodney Purvis,193.0,92.0,SG,16.0,6.0,1.7,1.1,32.7,25.0,86.7,38.8,4.5,-0.3
Dennis Schroder,185.0,78.0,PG,67.0,19.4,3.1,6.2,43.6,29.0,84.9,46.9,17.3,2.6
Kent Bazemore,196.0,91.0,SG,65.0,12.9,3.8,3.5,42.0,39.4,79.6,50.0,14.5,2.2
Malcolm Delaney,190.0,86.0,PG,54.0,6.3,1.9,3.0,38.2,37.1,80.4,46.3,10.6,1.0
Taurean Prince,203.0,99.0,SF,82.0,14.1,4.7,2.6,42.6,38.5,84.4,51.6,12.8,2.0
DeAndre' Bembry,198.0,95.0,SF,26.0,5.2,2.8,1.9,41.4,36.7,57.6,45.7,7.6,-0.4
Miles Plumlee,211.0,112.0,C,55.0,4.3,4.1,0.8,58.3,,45.0,58.3,10.6,0.9
John Collins,208.0,106.0,PF,74.0,10.5,7.3,1.3,57.6,34.0,71.5,59.1,18.3,5.4
Tyler Dorsey,196.0,83.0,SG,56.0,7.2,2.3,1.4,37.6,36.0,71.4,47.0,10.0,0.4
Dewayne Dedmon,213.0,111.0,C,62.0,10.0,7.9,1.5,52.4,35.5,77.9,57.7,15.8,3.7
Mike Muscala,211.0,108.0,C,53.0,7.6,4.3,1.0,45.8,37.1,91.9,55.8,14.4,2.4
Isaiah Taylor,190.0,77.0,PG,67.0,6.6,1.4,3.1,41.8,25.0,70.2,44.4,10.9,0.6
Tyler Cavanaugh,206.0,108.0,PF,39.0,4.7,3.3,0.7,44.1,36.0,81.0,54.6,13.0,1.2
Andrew White,201.0,95.0,SF,15.0,4.6,2.3,0.4,34.2,36.7,25.0,46.6,5.8,-0.1
Antonius Cleveland,198.0,88.0,SG,17.0,1.4,0.8,0.1,38.1,75.0,66.7,45.2,4.5,0.0
Jaylen Morris,196.0,83.0,SG,6.0,4.7,2.7,1.2,41.9,22.2,,45.2,6.9,-0.1
Damion Lee,198.0,95.0,SG,15.0,10.7,4.7,1.9,40.8,25.0,75.9,45.7,12.0,0.4
