split,value,fg,fga,fg_pct,3pm,3pma,3p_pct,efg_pct,astd,astd_pct
Split
Season,Regular Season,805,1596,.504 ,402,886,.454 ,.630 ,370,.460 
,Playoffs,148,338,.438 ,80,196,.408 ,.556 ,58,.392 
Split
Game Location,Home,470,954,.493 ,242,541,.447 ,.619 ,215,.457 
,Road,483,980,.493 ,240,541,.444 ,.615 ,213,.441 
Split
Game Result,Win,829,1625,.510 ,418,899,.465 ,.639 ,373,.450 
,Loss,124,309,.401 ,64,183,.350 ,.505 ,55,.444 
Split
Shot Points,2,471,852,.553 ,0,0,,.553 ,168,.357 
,3,482,1082,.445 ,482,1082,.445 ,.668 ,260,.539 
Split
Shot Distance,At Rim,285,423,.674 ,0,0,,.674 ,112,.393 
,3 to <10 ft,67,164,.409 ,0,0,,.409 ,20,.299 
,10 to <16 ft,44,95,.463 ,0,0,,.463 ,10,.227 
,16 ft to <3-pt,75,170,.441 ,0,0,,.441 ,26,.347 
,3-pt,482,1082,.445 ,482,1082,.445 ,.668 ,260,.539 
Split
Shot Type,Dunk,7,7,1.000 ,0,0,,1.000 ,3,.429 
,Hook Shot,1,3,.333 ,0,0,,.333 ,0,.000 
,Jump Shot,656,1489,.441 ,482,1082,.445 ,.602 ,313,.477 
,Lay-Up,289,435,.664 ,0,0,,.664 ,112,.388 
Split
Quarter,1st,297,627,.474 ,166,372,.446 ,.606 ,150,.505 
,2nd,178,358,.497 ,85,196,.434 ,.616 ,70,.393 
,3rd,306,615,.498 ,149,339,.440 ,.619 ,141,.461 
,4th,158,307,.515 ,76,163,.466 ,.638 ,64,.405 
,OT,14,27,.519 ,6,12,.500 ,.630 ,3,.214 
Split
Time Left in Quarter,< 3 minutes,334,683,.489 ,165,373,.442 ,.610 ,127,.380 
,3-6 minutes,299,573,.522 ,157,332,.473 ,.659 ,145,.485 
,> 6 minutes,320,678,.472 ,160,377,.424 ,.590 ,156,.487 
Split
Margin,â‰¤ 5 points,423,897,.472 ,226,513,.441 ,.598 ,173,.409 
,6-10 points,256,490,.522 ,128,261,.490 ,.653 ,118,.461 
,> 10 points,274,547,.501 ,128,308,.416 ,.618 ,137,.500 
Split
Opponent,Atlanta,14,22,.636 ,5,11,.455 ,.750 ,7,.500 
,Boston,18,46,.391 ,14,27,.519 ,.543 ,10,.556 
,Brooklyn,24,48,.500 ,10,25,.400 ,.604 ,15,.625 
,Charlotte,26,39,.667 ,13,21,.619 ,.833 ,12,.462 
,Chicago,17,38,.447 ,6,20,.300 ,.526 ,8,.471 
,Cleveland,68,157,.433 ,40,95,.421 ,.561 ,34,.500 
,Dallas,25,55,.455 ,14,31,.452 ,.582 ,10,.400 
,Denver,35,69,.507 ,17,41,.415 ,.630 ,16,.457 
,Detroit,20,44,.455 ,10,22,.455 ,.568 ,7,.350 
,Houston,31,61,.508 ,17,39,.436 ,.648 ,16,.516 
,Indiana,22,42,.524 ,11,26,.423 ,.655 ,11,.500 
,LA Clippers,36,77,.468 ,20,43,.465 ,.597 ,17,.472 
,LA Lakers,31,72,.431 ,17,46,.370 ,.549 ,18,.581 
,Memphis,41,83,.494 ,20,51,.392 ,.614 ,20,.488 
,Miami,25,56,.446 ,10,23,.435 ,.536 ,11,.440 
,Milwaukee,17,35,.486 ,4,14,.286 ,.543 ,8,.471 
,Minnesota,28,67,.418 ,14,36,.389 ,.522 ,12,.429 
,New Orleans,41,69,.594 ,17,35,.486 ,.717 ,12,.293 
,New York,17,37,.459 ,11,24,.458 ,.608 ,11,.647 
,Oklahoma City,98,214,.458 ,50,115,.435 ,.575 ,31,.316 
,Orlando,34,51,.667 ,17,28,.607 ,.833 ,18,.529 
,Philadelphia,16,35,.457 ,7,20,.350 ,.557 ,13,.812 
,Phoenix,42,75,.560 ,23,47,.489 ,.713 ,20,.476 
,Portland,72,137,.526 ,37,78,.474 ,.661 ,30,.417 
,Sacramento,31,62,.500 ,19,43,.442 ,.653 ,13,.419 
,San Antonio,40,79,.506 ,14,37,.378 ,.595 ,13,.325 
,Toronto,27,47,.574 ,14,25,.560 ,.723 ,11,.407 
,Utah,29,69,.420 ,14,35,.400 ,.522 ,9,.310 
,Washington,28,48,.583 ,17,24,.708 ,.760 ,15,.536 
Split
Month,October,40,68,.588 ,17,35,.486 ,.713 ,12,.300 
,November,157,317,.495 ,77,176,.438 ,.617 ,76,.484 
,December,104,203,.512 ,46,103,.447 ,.626 ,49,.471 
,January,147,297,.495 ,81,176,.460 ,.631 ,73,.497 
,February,129,234,.551 ,67,125,.536 ,.694 ,60,.465 
,March,153,325,.471 ,73,181,.403 ,.583 ,66,.431 
,April,85,174,.489 ,47,104,.452 ,.624 ,41,.482 
,May,88,192,.458 ,42,103,.408 ,.568 ,27,.307 
,June,50,124,.403 ,32,79,.405 ,.532 ,24,.480 
