id,player_name,season,age,team,pos,games,games_started,mpg,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
63,Shaun Livingston,2013-14,28,BRK,PG,76,54,26.0,3.1,6.4,.483,0.0,.167,3.1,6.3,.486,.484,2.1,2.5,.827,0.9,2.4,3.2,3.2,1.2,0.4,1.4,2.3,8.3
64,Shaun Livingston,2014-15,29,GSW,PG,78,2,18.8,2.5,5.1,.500,0.0,.000,2.5,5.1,.503,.500,0.8,1.2,.714,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9
65,Shaun Livingston,2015-16,30,GSW,PG,78,3,19.5,2.6,4.9,.536,0.0,.167,2.6,4.7,.548,.538,1.0,1.2,.860,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3
66,Shaun Livingston,2016-17,31,GSW,PG,76,3,17.7,2.3,4.2,.547,0.0,.333,2.3,4.1,.550,.549,0.6,0.8,.700,0.4,1.6,2.0,1.8,0.5,0.3,0.8,1.6,5.1
67,Shaun Livingston,2017-18,32,GSW,PG,69,7,15.9,2.4,4.8,.506,0.0,.000,2.4,4.7,.512,.506,0.7,0.9,.814,0.5,1.4,1.8,2.0,0.5,0.3,0.8,1.7,5.5
68,Nick Young,2007-08,22,WAS,SG,75,2,15.4,2.8,6.4,.439,0.5,.400,2.3,5.0,.450,.481,1.3,1.7,.815,0.3,1.2,1.5,0.8,0.5,0.1,1.3,1.7,7.5
69,Nick Young,2008-09,23,WAS,SG,82,5,22.4,4.1,9.2,.444,0.7,.341,3.4,7.2,.473,.481,2.0,2.4,.850,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9
70,Nick Young,2009-10,24,WAS,SG,74,23,19.2,3.1,7.5,.418,0.9,.406,2.2,5.2,.423,.479,1.4,1.8,.800,0.3,1.1,1.4,0.6,0.4,0.1,0.8,2.0,8.6
71,Nick Young,2010-11,25,WAS,SG,64,40,31.8,6.4,14.6,.441,1.6,.387,4.8,10.4,.462,.497,2.9,3.6,.816,0.4,2.3,2.7,1.2,0.7,0.3,1.4,2.3,17.4
72,Nick Young,2011-12,26,TOT,SG,62,35,27.9,5.1,12.6,.403,1.7,.365,3.4,8.1,.424,.469,2.3,2.7,.852,0.5,1.6,2.1,0.9,0.7,0.3,1.3,2.3,14.2
73,Nick Young,2012-13,27,PHI,SG,59,17,23.9,3.8,9.2,.413,1.3,.357,2.5,5.6,.449,.482,1.8,2.2,.820,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6
74,Nick Young,2013-14,28,LAL,SG,64,9,28.3,6.0,13.9,.435,2.1,.386,3.9,8.4,.468,.511,3.7,4.5,.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,2.4,17.9
75,Nick Young,2014-15,29,LAL,SG,42,0,23.8,4.1,11.3,.366,2.0,.369,2.2,6.0,.363,.453,3.1,3.5,.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4
76,Nick Young,2015-16,30,LAL,SG,54,2,19.1,2.3,6.9,.339,1.4,.325,0.9,2.5,.363,.442,1.2,1.4,.829,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3
77,Nick Young,2016-17,31,LAL,SG,60,60,25.9,4.5,10.6,.430,2.8,.404,1.7,3.5,.481,.564,1.3,1.5,.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2
78,Nick Young,2017-18,32,GSW,SG,77,8,17.2,2.5,6.2,.411,1.5,.373,1.0,2.0,.487,.536,0.7,0.8,.855,0.2,1.3,1.5,0.4,0.5,0.1,0.5,1.2,7.3
79,Zaza Pachulia,2003-04,19,ORL,C,59,2,11.3,1.2,3.0,.389,0.0,,1.2,3.0,.389,.389,1.0,1.5,.644,1.2,1.8,2.9,0.2,0.4,0.2,0.6,1.5,3.3
80,Zaza Pachulia,2004-05,20,MIL,C,74,4,18.9,2.2,4.8,.452,0.0,.000,2.2,4.8,.453,.452,1.9,2.5,.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2
81,Zaza Pachulia,2005-06,21,ATL,C,78,78,31.4,3.9,8.7,.451,0.0,.000,3.9,8.7,.452,.451,3.8,5.2,.735,3.4,4.5,7.9,1.7,1.1,0.5,2.3,3.7,11.7
82,Zaza Pachulia,2006-07,22,ATL,C,72,47,28.1,4.0,8.5,.474,0.0,.000,4.0,8.5,.475,.474,4.1,5.2,.786,2.8,4.2,6.9,1.5,1.1,0.5,2.3,3.7,12.2
83,Zaza Pachulia,2007-08,23,ATL,C,62,5,15.2,1.7,4.0,.437,0.0,.000,1.7,3.9,.442,.437,1.7,2.5,.706,1.4,2.6,4.0,0.6,0.4,0.2,1.1,2.3,5.2
84,Zaza Pachulia,2008-09,24,ATL,C,77,26,19.1,2.1,4.2,.497,0.0,.000,2.1,4.1,.502,.497,2.1,3.0,.709,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2
85,Zaza Pachulia,2009-10,25,ATL,C,78,1,14.0,1.5,3.2,.488,0.0,.000,1.5,3.1,.496,.488,1.2,1.8,.650,1.5,2.3,3.8,0.5,0.5,0.4,0.7,2.4,4.3
86,Zaza Pachulia,2010-11,26,ATL,C,79,7,15.7,1.4,2.9,.461,0.0,,1.4,2.9,.461,.461,1.7,2.3,.754,1.5,2.7,4.2,0.7,0.4,0.3,0.9,2.3,4.4
87,Zaza Pachulia,2011-12,27,ATL,C,58,44,28.3,2.9,5.8,.499,0.0,,2.9,5.8,.499,.499,2.0,2.7,.741,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,7.8
88,Zaza Pachulia,2012-13,28,ATL,C,52,15,21.8,2.2,4.6,.473,0.0,.000,2.2,4.6,.479,.473,1.5,2.0,.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9
89,Zaza Pachulia,2013-14,29,MIL,C,53,43,25.0,2.8,6.6,.427,0.0,.000,2.8,6.6,.428,.427,2.1,2.5,.846,2.7,3.6,6.3,2.6,0.8,0.3,1.7,2.3,7.7
90,Zaza Pachulia,2014-15,30,MIL,C,73,45,23.7,3.3,7.2,.454,0.0,.000,3.3,7.2,.456,.454,1.7,2.2,.788,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3
91,Zaza Pachulia,2015-16,31,DAL,C,76,69,26.4,2.9,6.2,.466,0.0,.000,2.9,6.1,.469,.466,2.8,3.6,.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6
92,Zaza Pachulia,2016-17,32,GSW,C,70,70,18.1,2.3,4.4,.534,0.0,.000,2.3,4.4,.538,.534,1.4,1.8,.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1
93,Zaza Pachulia,2017-18,33,GSW,C,67,55,14.1,2.2,3.9,.564,0.0,.000,2.2,3.9,.566,.564,1.1,1.4,.802,1.3,3.4,4.6,1.6,0.6,0.2,1.1,1.8,5.4
94,Omri Casspi,2009-10,21,SAC,SF,77,31,25.1,3.9,8.7,.446,1.0,.369,2.9,6.1,.480,.502,1.5,2.3,.672,1.0,3.6,4.5,1.2,0.7,0.2,1.3,1.6,10.3
95,Omri Casspi,2010-11,22,SAC,SF,71,27,24.0,3.2,7.7,.412,1.3,.372,1.9,4.2,.445,.496,1.0,1.4,.673,1.0,3.3,4.3,1.0,0.8,0.2,1.0,1.6,8.6
96,Omri Casspi,2011-12,23,CLE,SF,65,35,20.6,2.6,6.3,.403,0.8,.315,1.7,3.8,.463,.467,1.1,1.7,.685,1.0,2.5,3.5,1.0,0.6,0.3,1.0,1.8,7.1
97,Omri Casspi,2012-13,24,CLE,SF,43,1,11.7,1.5,3.7,.394,0.6,.329,0.9,2.0,.452,.472,0.5,1.0,.537,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,4.0
98,Omri Casspi,2013-14,25,HOU,PF,71,2,18.1,2.4,5.8,.422,0.9,.347,1.6,3.3,.479,.496,1.2,1.7,.680,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9
99,Omri Casspi,2014-15,26,SAC,SF,67,19,21.1,3.1,6.4,.489,0.5,.402,2.6,5.1,.512,.530,2.1,2.9,.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9
100,Omri Casspi,2015-16,27,SAC,PF,69,21,27.2,4.3,9.0,.481,1.6,.409,2.7,5.0,.537,.571,1.5,2.3,.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8
101,Omri Casspi,2016-17,28,TOT,PF,36,2,17.9,2.1,4.6,.470,0.4,.349,1.7,3.4,.512,.515,0.5,0.8,.586,0.8,2.4,3.1,1.0,0.6,0.1,0.8,1.4,5.2
102,Omri Casspi,2017-18,29,GSW,SF,53,7,14.0,2.3,3.9,.580,0.2,.455,2.1,3.5,.595,.604,0.9,1.3,.725,0.6,3.2,3.8,1.0,0.3,0.4,0.7,1.3,5.7
103,David West,2003-04,23,NOH,PF,71,1,13.1,1.5,3.2,.474,0.0,.000,1.5,3.2,.478,.474,0.8,1.1,.713,1.6,2.5,4.2,0.8,0.4,0.4,0.7,1.6,3.8
104,David West,2004-05,24,NOH,SF,30,8,18.4,2.5,5.7,.436,0.1,.400,2.4,5.6,.437,.442,1.1,1.7,.680,1.3,3.0,4.3,0.8,0.4,0.5,1.2,2.1,6.2
105,David West,2005-06,25,NOK,PF,74,74,34.1,7.2,14.0,.512,0.0,.273,7.1,13.9,.514,.513,2.7,3.2,.843,2.3,5.1,7.4,1.2,0.8,0.9,1.4,2.9,17.1
106,David West,2006-07,26,NOK,PF,52,52,36.5,7.3,15.2,.476,0.2,.320,7.1,14.8,.481,.481,3.6,4.4,.824,2.4,5.7,8.2,2.2,0.8,0.7,1.9,2.8,18.3
107,David West,2007-08,27,NOH,PF,76,76,37.8,8.3,17.2,.482,0.1,.240,8.2,16.8,.487,.484,3.9,4.6,.850,2.4,6.5,8.9,2.3,0.8,1.3,2.2,2.7,20.6
108,David West,2008-09,28,NOH,PF,76,76,39.2,8.0,17.0,.472,0.1,.240,7.9,16.7,.477,.474,4.8,5.5,.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7,21.0
109,David West,2009-10,29,NOH,PF,81,81,36.4,7.6,15.1,.505,0.1,.259,7.6,14.8,.510,.508,3.7,4.2,.865,2.0,5.4,7.5,3.0,0.9,0.7,2.1,2.9,19.0
110,David West,2010-11,30,NOH,PF,70,70,35.0,7.5,14.9,.508,0.0,.222,7.5,14.7,.510,.509,3.8,4.7,.807,2.2,5.3,7.6,2.3,1.0,0.9,2.0,2.9,18.9
111,David West,2011-12,31,IND,PF,66,66,29.2,5.3,10.8,.487,0.0,.222,5.3,10.7,.491,.489,2.2,2.7,.807,1.8,4.8,6.6,2.1,0.8,0.7,1.4,2.4,12.8
112,David West,2012-13,32,IND,PF,73,73,33.4,6.9,13.8,.498,0.1,.211,6.8,13.6,.503,.500,3.3,4.3,.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,2.0,17.1
113,David West,2013-14,33,IND,PF,80,80,30.9,5.7,11.7,.488,0.1,.267,5.7,11.6,.491,.490,2.5,3.1,.789,1.5,5.3,6.8,2.8,0.8,0.9,1.7,2.3,14.0
114,David West,2014-15,34,IND,PF,66,66,28.7,4.9,10.4,.471,0.1,.200,4.8,10.1,.479,.474,1.8,2.4,.739,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7
115,David West,2015-16,35,SAS,PF,78,19,18.0,3.1,5.7,.545,0.0,.429,3.1,5.7,.546,.548,0.8,1.0,.788,0.9,3.0,4.0,1.8,0.6,0.7,0.9,1.8,7.1
116,David West,2016-17,36,GSW,C,68,0,12.6,2.0,3.7,.536,0.0,.375,1.9,3.6,.541,.542,0.6,0.8,.768,0.7,2.3,3.0,2.2,0.6,0.7,1.1,1.5,4.6
117,David West,2017-18,37,GSW,C,70,0,13.7,3.0,5.2,.581,0.0,.375,3.0,5.1,.585,.585,0.9,1.1,.769,0.9,2.4,3.3,1.9,0.6,1.0,1.1,1.7,7.0
118,JaVale McGee,2008-09,21,WAS,C,75,14,15.2,2.5,5.2,.494,0.0,,2.5,5.2,.494,.494,1.4,2.2,.660,1.6,2.3,3.9,0.3,0.4,1.0,0.8,2.1,6.5
119,JaVale McGee,2009-10,22,WAS,C,60,19,16.1,2.6,5.1,.508,0.0,.000,2.6,5.1,.510,.508,1.2,1.9,.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4
120,JaVale McGee,2010-11,23,WAS,C,79,75,27.8,4.2,7.6,.550,0.0,.000,4.2,7.6,.552,.550,1.7,2.9,.583,2.8,5.2,8.0,0.5,0.5,2.4,1.3,2.9,10.1
121,JaVale McGee,2011-12,24,TOT,C,61,45,25.2,5.0,9.0,.556,0.0,,5.0,9.0,.556,.556,1.3,2.7,.461,2.7,5.1,7.8,0.5,0.6,2.2,1.4,2.7,11.3
122,JaVale McGee,2012-13,25,DEN,C,79,0,18.1,3.8,6.7,.575,0.0,1.000,3.8,6.7,.574,.576,1.4,2.4,.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1
123,JaVale McGee,2013-14,26,DEN,C,5,5,15.8,3.4,7.6,.447,0.0,,3.4,7.6,.447,.447,0.2,0.2,1.000,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0
124,JaVale McGee,2014-15,27,TOT,C,23,0,11.1,1.8,3.4,.532,0.0,,1.8,3.4,.532,.532,1.0,1.4,.667,0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6
125,JaVale McGee,2015-16,28,DAL,C,34,2,10.9,2.3,3.9,.575,0.0,.000,2.3,3.9,.579,.575,0.5,1.1,.500,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
126,JaVale McGee,2016-17,29,GSW,C,77,10,9.6,2.7,4.1,.652,0.0,.000,2.7,4.1,.658,.652,0.7,1.4,.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1
127,JaVale McGee,2017-18,30,GSW,C,63,17,9.5,2.0,3.3,.614,0.0,.000,2.0,3.2,.632,.614,0.6,0.8,.750,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.7
128,Quinn Cook,2016-17,23,TOT,PG,14,0,13.4,2.4,4.7,.500,0.8,.423,1.6,2.9,.550,.583,0.1,0.4,.400,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6
129,Quinn Cook,2017-18,24,GSW,PG,30,15,21.1,3.5,7.2,.488,1.3,.427,2.3,4.3,.531,.576,0.6,0.7,.905,0.3,2.0,2.3,2.6,0.4,0.0,0.9,1.6,9.0
130,Chris Boucher,2017-18,25,GSW,PF,1,0,1.0,0.0,1.0,.000,0.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
